"United States"
"Employment to population ratio (% ages 15 and older)","59.8"
"Child labour (% ages 5-17)","n.a."
"Employment in agriculture (% of total employment)","1.3"
"Employment in services (% of total employment)","78.9"
"Labour force participation rate (% ages 15 and older)","62.0"
"Labour force participation rate (% ages 15 and older), female","56.1"
"Labour force participation rate (% ages 15 and older), male","68.2"
"Old-age pension recipients (% of statutory pension age population)","100.0"
"Proportion of informal employment in nonagricultural employment (% of total employment in nonagriculture)","n.a."
"Proportion of informal employment in nonagricultural employment, female (% of total employment in nonagriculture)","n.a."
"Unemployment, total (% of labour force)","3.7"
"Unemployment, youth (% ages 15–24)","8.5"
"Vulnerable employment (% of total employment)","3.8"
"Youth not in school or employment (% ages 15-24)","13.8"
"Homicide rate (per 100,000 people)","5.0"
"Birth registration (% under age 5)","100"
"Homeless people due to natural disaster (average annual per million people)","51"
"Prison population (per 100,000 people)","663"
"Refugees by country of origin (thousands)","0.3"
"Suicide rate, female (per 100,000 people, age-standardized)","6.4"
"Suicide rate, male (per 100,000 people, age-standardized)","21.1"
"Exports and imports (% of GDP)","26.4"
"Foreign direct investment, net inflows (% of GDP)","1.5"
"Net official development assistance received (% of GNI)","n.a."
"Private capital flows (% of GDP)","-1.4"
"Remittances, inflows (% of GDP)","0.03"
"Internet users, total (% of population)","87.3"
"International inbound tourists (thousands)","79,746"
"International student mobility (% of total tertiary enrolment)","4.7"
"Internet users, female (% of female population)","74.9"
"Mobile phone subscriptions (per 100 people)","123.7"
"Net migration rate (per 1,000 people)","2.9"
"Carbon dioxide emissions, production emissions per capita (tonnes)","16.6"
"Carbon dioxide emissions, per unit of GDP (kg per 2010 US$ of GDP)","0.27"
"Degraded land (% of total land area)","n.a."
"Domestic material consumption per capita, (tonnes)","20.3"
"Forest area (% of total land area)","33.9"
"Forest area, change (%)","2.7"
"Fossil fuel energy consumption (% of total energy consumption)","82.4"
"Fresh water withdrawals (% of total renewable water resources)","14.5"
"Mortality rate attributed to household and ambient air pollution (per 100,000 population, age-standardized)","13"
"Mortality rate attributed to unsafe water, sanitation and hygiene services (per 100,000 population)","0.2"
"Natural resource depletion (% of GNI)","0.4"
"Number of deaths and missing persons attributed to disasters (per 100,000 population)","1.2"
"Red List Index (value)","0.833"
"Use of fertilizer nutrient nitrogen (N), per area of cropland (kg per hectare)","72.6"
"Use of fertilizer nutrient phosphorus (expressed as P2O5), per area of cropland (kg per hectare)","25.4"
"Total population (millions) (Data refers to 2030)","349.6"
"Median age (years)","38.3"
"Old-age (65 and older) dependency ratio (per 100 people ages 15-64)","24.8"
"Population ages 15–64 (millions)","214.7"
"Population ages 65 and older (millions)","53.3"
"Population under age 5 (millions)","19.6"
"Sex ratio at birth (male to female births)","1.05"
"Urban population (%)","82.5"
"Young age (0-14) dependency ratio (per 100 people ages 15-64)","28.4"
"Skilled labour force (% of labour force)","96.5"
"Adjusted net savings (% of GNI)","5.6"
"Average annual change in the share of bottom 40% (%)","-0.3"
"Concentration index (exports) (value)","0.099"
"Gross capital formation (% of GDP)","21.0"
"Overall loss in HDI value due to inequality, average annual change (%)","1.3"
"Population using safely managed drinking-water services (%)","99"
"Population using safely managed sanitation services (%)","90"
"Ratio of education and health expenditure to military expenditure","6.2"
"Research and development expenditure (% of GDP)","2.8"
"Rural population with access to electricity (%)","100.0"
"Total debt service (% of exports of goods, services and primary income)","n.a."
